"file","bug","loc","bf","hcm"
"org::eclipse::pde::internal::ui::refactoring::ManifestTypeMoveParticipant ",0,44,2,9.58809
"org::eclipse::pde::internal::core::schema::Schema ",1,847,24,28.1851
"org::eclipse::pde::internal::core::text::toc::TocTopic ",0,56,3,5.26723
"org::eclipse::pde::internal::core::product::ProductFeature ",0,25,0,4.87416
"org::eclipse::pde::internal::ui::editor::EditorUtilities ",0,194,7,11.0027
"org::eclipse::pde::internal::ui::editor::LaunchShortcutOverviewPage ",0,59,3,4.58578
"org::eclipse::pde::internal::ui::samples::SampleWizard ",0,124,0,4.73464
"org::eclipse::pde::internal::core::util::DOMParserWrapper ",1,20,1,1.77712
"org::eclipse::pde::internal::core::ModelFileAdapter ",0,7,0,3.37663
"org::eclipse::pde::internal::core::plugin::PluginAttribute ",0,63,5,10.0245
"org::eclipse::pde::internal::ui::editor::build::BuildSourceViewerConfiguration ",0,66,3,7.73771
"org::eclipse::pde::ui::launcher::JUnitWorkbenchLaunchShortcut ",1,52,6,11.9634
"org::eclipse::pde::internal::ui::views::dependencies::OpenPluginDependenciesAction ",0,11,2,1.76682
"org::eclipse::pde::internal::core::text::plugin::PluginModel ",0,14,0,3.30831
"org::eclipse::pde::internal::ui::wizards::WizardCollectionComparator ",0,24,1,1.76682
"org::eclipse::pde::internal::ui::editor::contentassist::TypeProposalLabelProvider ",0,9,1,1.76682
"org::eclipse::pde::internal::core::schema::EditableSchema ",0,21,0,6.42599
"org::eclipse::pde::internal::ui::preferences::MainPreferencePage ",3,71,3,11.4044
"org::eclipse::pde::internal::ui::wizards::feature::NewFeaturePatchWizard ",0,11,10,13.6235
"org::eclipse::ui::internal::views::log::OpenIDELogFileAction ",0,15,0,1.77712
"org::eclipse::pde::internal::ui::editor::feature::Choice ",0,13,1,7.47927
"org::eclipse::pde::internal::ui::editor::feature::IncludedFeaturesDetailsSection ",0,195,4,10.137
"org::eclipse::pde::internal::core::builders::ElementOccurrenceResult ",0,18,0,1.77712
"org::eclipse::pde::internal::ui::editor::text::ResourceHyperlink ",0,57,3,5.88907
"org::eclipse::pde::internal::ui::wizards::plugin::OpenProjectWizardAction ",0,19,1,8.67904
"org::eclipse::pde::internal::core::exports::FeatureExportOperation ",6,582,10,14.2492
"org::eclipse::pde::internal::ui::editor::cheatsheet::simple::SimpleCSDefinitionPage ",0,144,3,3.15241
"org::eclipse::pde::internal::ui::launcher::LaunchAction ",1,223,10,24.7436
"org::eclipse::pde::internal::ui::util::PersistablePluginObject ",0,55,3,10.7641
"org::eclipse::pde::internal::ui::editor::ctxhelp::CtxHelpSourcePage ",0,53,1,0
"org::eclipse::pde::internal::ui::search::dependencies::DependencyExtentSearchResultPage ",0,53,1,10.2628
"org::eclipse::pde::internal::ui::editor::plugin::rows::TextAttributeRow ",0,55,5,16.0268
"org::eclipse::pde::internal::core::text::toc::Toc ",0,22,2,3.71677
"org::eclipse::pde::internal::ui::correction::OptionalRequireBundleResolution ",0,21,0,3.18664
"org::eclipse::pde::internal::ui::editor::JarEntryEditorInput ",0,45,2,10.7189
"org::eclipse::pde::internal::ui::compare::PluginStructureViewerCreator ",1,6,1,0
"org::eclipse::pde::internal::ui::elements::ElementList ",0,22,0,6.41569
"org::eclipse::pde::internal::core::build::ExternalBuildModel ",1,37,0,7.91391
"org::eclipse::pde::internal::core::natures::SiteProject ",0,9,1,3.19695
"org::eclipse::pde::internal::ui::editor::contentassist::display::SubstitutionTextReader ",0,76,1,3.19189
"org::eclipse::pde::internal::ui::editor::schema::SchemaStringAttributeDetails ",0,145,2,3.01668
"org::eclipse::pde::internal::core::PDERegistryStrategy ",1,155,5,10.6231
"org::eclipse::pde::internal::ui::launcher::FilteredCheckboxTree ",2,35,3,2.06344
"org::eclipse::pde::internal::ui::editor::schema::SchemaCompositorDetails ",0,64,5,14.266
"org::eclipse::pde::internal::core::text::bundle::BundleActivatorHeader ",0,9,0,3.30831
"org::eclipse::pde::internal::ui::editor::plugin::ExportPackageSection ",0,525,20,27.4277
"org::eclipse::pde::internal::core::variables::TargetNLVariableResolver ",0,3,1,1.77712
"org::eclipse::pde::internal::ui::wizards::product::UpdateSplashProgressOperation ",0,415,1,1.76682
"org::eclipse::pde::internal::ui::templates::osgi::OSGiPreferencesServiceNewWizard ",0,11,2,1.56044
"org::eclipse::pde::ui::launcher::OSGiLaunchConfigurationInitializer ",1,37,3,6.80521
"org::eclipse::pde::internal::core::build::BuildEntry ",0,59,1,7.57392
"org::eclipse::pde::internal::core::plugin::ImportObject ",0,42,1,9.53015
"org::eclipse::pde::internal::ui::editor::feature::SynchronizeVersionsWizardPage ",0,152,9,17.2944
"org::eclipse::pde::internal::ui::editor::feature::FeatureEditor ",2,255,8,19.8138
"org::eclipse::pde::internal::ui::editor::cheatsheet::comp::CompCSMasterTreeSection ",0,482,7,11.5775
"org::eclipse::pde::internal::ui::correction::BuildEntryMarkerResolution ",0,12,3,3.82133
"org::eclipse::pde::internal::ui::elements::NamedElement ",0,17,3,6.95514
"org::eclipse::pde::internal::ui::editor::contentassist::ManifestContentAssistProcessor ",1,646,17,12.9364
"org::eclipse::pde::internal::ui::editor::text::ReconcilingStrategy ",0,20,0,10.2185
"org::eclipse::pde::internal::ui::wizards::provisioner::DirectorySelectionPage ",2,114,2,3.17095
"org::eclipse::pde::internal::core::exports::ProductExportOperation ",6,613,25,18.4647
"org::eclipse::pde::internal::ui::editor::text::PDEDefaultInformationControl ",0,10,2,2.71813
"org::eclipse::pde::internal::ui::editor::plugin::PluginGeneralInfoSection ",0,166,20,32.4055
"org::eclipse::pde::internal::ui::templates::ide::NewWizardTemplate ",0,100,3,2.84822
"org::eclipse::pde::internal::ui::editor::plugin::ExtensionPointsPage ",0,37,7,20.1475
"org::eclipse::pde::internal::ui::editor::feature::HandlerSection ",0,121,2,8.67717
"org::eclipse::pde::internal::core::schema::SchemaElement ",0,259,11,17.0249
"org::eclipse::pde::internal::ui::wizards::templates::NewPluginTemplateChoiceWizard ",0,66,5,10.786
"org::eclipse::pde::internal::core::text::bundle::LazyStartHeader ",0,9,0,3.9513
"org::eclipse::pde::internal::ui::editor::target::EnvironmentPage ",0,28,5,12.0117
"org::eclipse::pde::internal::core::builders::FeatureRebuilder ",0,50,4,10.3419
"org::eclipse::pde::internal::ui::templates::ide::HelloWorldCmdTemplate ",0,136,2,1.56044
"org::eclipse::pde::internal::ui::compare::ManifestStructureMergeViewerCreator ",0,5,2,2.5349
"org::eclipse::pde::internal::ui::OpenPDEPerspectiveAction ",0,20,0,6.41569
"org::eclipse::pde::internal::ui::refactoring::ContainerRenameParticipant ",0,79,5,10.4273
"org::eclipse::pde::internal::ui::editor::ctxhelp::CtxHelpPage ",0,81,3,2.15793
"org::eclipse::pde::internal::core::FeatureModelDelta ",0,37,0,3.45817
"org::eclipse::pde::internal::core::TracingOptionsManager ",1,132,3,10.1212
"org::eclipse::pde::internal::ui::tests::macro::IndexAction ",0,33,0,4.68802
"org::eclipse::pde::internal::core::text::bundle::BasePackageHeader ",0,44,1,6.83528
"org::eclipse::pde::internal::ui::launcher::WorkspaceDataBlock ",0,109,3,10.2902
"org::eclipse::pde::internal::ui::editor::product::SplashPage ",0,24,4,5.97024
"org::eclipse::pde::ui::launcher::JUnitLaunchConfigurationDelegate ",1,270,15,17.3217
"org::eclipse::pde::internal::core::build::BuildObject ",0,23,1,12.396
"org::eclipse::pde::internal::core::text::build::BuildModel ",0,27,2,7.53549
"org::eclipse::pde::internal::core::text::plugin::PluginModelBase ",0,64,3,11.9716
"org::eclipse::pde::internal::ui::editor::outline::QuickOutlinePopupDialog ",0,374,4,6.31854
"org::eclipse::pde::internal::core::search::PluginSearchOperation ",0,88,0,7.27922
"org::eclipse::pde::internal::ui::editor::plugin::ExtensionElementBodyTextDetails ",0,279,3,3.3149
"org::eclipse::pde::internal::ui::editor::ctxhelp::details::CtxHelpAbstractDetails ",0,78,1,0
"org::eclipse::pde::internal::ui::editor::context::InputContextManager ",0,230,3,8.4335
"org::eclipse::pde::internal::core::bundle::WorkspaceBundleModel ",0,96,0,0
"org::eclipse::pde::internal::ui::wizards::feature::CreateFeaturePatchOperation ",0,19,1,4.49802
"org::eclipse::pde::internal::ui::launcher::ConfigurationTemplateBlock ",1,140,5,8.00679
"org::eclipse::pde::ui::templates::AbstractChoiceOption ",0,36,2,4.4013
"org::eclipse::pde::internal::ui::wizards::target::BaseTargetDefinitionOperation ",2,41,1,5.15731
"org::eclipse::pde::internal::ui::wizards::templates::ControlStack ",0,43,0,6.41569
"org::eclipse::pde::internal::ui::correction::RemoveImportExportServicesResolution ",0,16,2,1.76682
"org::eclipse::pde::internal::core::XMLPrintHandler ",0,149,3,10.2527
"org::eclipse::pde::internal::core::feature::FeaturePlugin ",0,113,5,10.6277
"org::eclipse::pde::internal::ui::templates::osgi::HelloOSGiTemplate ",0,30,2,3.15995
"org::eclipse::pde::internal::core::text::ctxhelp::CtxHelpObject ",0,82,2,1.38451
"org::eclipse::pde::internal::core::product::WindowImages ",0,91,1,10.9582
"org::eclipse::pde::internal::ui::refactoring::RefactoringInfo ",0,18,1,1.76682
"org::eclipse::pde::internal::ui::wizards::cheatsheet::SimpleCSFileWizardPage ",0,45,2,4.91442
"org::eclipse::pde::internal::ui::editor::toc::actions::TocAddObjectAction ",0,26,0,4.33338
"org::eclipse::pde::internal::ui::launcher::LaunchListener ",0,138,8,19.8036
"org::eclipse::pde::internal::ui::wizards::NewWizard ",0,21,0,7.72196
"org::eclipse::pde::internal::ui::editor::plugin::PluginUndoManager ",0,174,1,9.30009
"org::eclipse::pde::internal::ui::editor::LinkSection ",0,142,0,6.41569
"org::eclipse::pde::internal::core::bundle::BundlePluginBase ",0,484,12,24.0348
"org::eclipse::pde::internal::core::text::bundle::PDEManifestElement ",0,201,4,11.7184
"org::eclipse::pde::internal::ui::editor::schema::NewElementAction ",0,25,2,11.1153
"org::eclipse::pde::internal::ui::wizards::imports::PluginImportWizardFirstPage ",3,281,12,21.3635
"org::eclipse::pde::internal::core::text::bundle::BundleTextChangeListener ",0,60,3,8.36237
"org::eclipse::pde::internal::core::bundle::BundlePlugin ",0,27,1,14.4321
"org::eclipse::pde::internal::ui::editor::plugin::RequiresSection ",0,681,24,32.7874
"org::eclipse::pde::internal::core::site::ExternalSiteModel ",0,10,0,6.42599
"org::eclipse::pde::internal::core::schema::RepeatableSchemaObject ",0,25,1,7.6507
"org::eclipse::pde::internal::core::plugin::PluginParent ",0,65,5,17.0076
"org::eclipse::pde::internal::ui::search::dependencies::DependencyExtentAction ",0,9,0,7.72196
"org::eclipse::pde::internal::ui::views::dependencies::OpenPluginReferencesAction ",0,11,2,1.76682
"org::eclipse::pde::internal::core::search::PluginSearchScope ",0,30,5,14.0791
"org::eclipse::ui::internal::views::log::TailInputStream ",0,23,0,1.77712
"org::eclipse::pde::ui::templates::BlankField ",0,14,1,1.76682
"org::eclipse::pde::ui::launcher::OSGiSettingsTab ",0,53,3,10.4245
"org::eclipse::pde::internal::ui::wizards::cheatsheet::SimpleCSCreationOperation ",0,34,4,7.44245
"org::eclipse::pde::internal::ui::refactoring::FindReferenceOperation ",0,76,2,3.27147
"org::eclipse::pde::internal::core::target::TargetModelFactory ",0,30,0,6.61569
"org::eclipse::pde::internal::ui::editor::plugin::JavaAttributeValue ",0,14,0,6.41569
"org::eclipse::pde::internal::ui::tests::macro::EditorCommandTarget ",0,11,0,4.68802
"org::eclipse::pde::internal::ui::editor::plugin::ManifestEditorMatchingStrategy ",0,52,5,14.6314
"org::eclipse::pde::internal::ui::editor::plugin::rows::BooleanAttributeRow ",0,18,3,8.04434
"org::eclipse::pde::internal::core::schema::SchemaSimpleType ",0,32,0,6.42599
"org::eclipse::pde::internal::ui::templates::ide::HelpNewWizard ",0,7,2,1.56044
"org::eclipse::pde::core::plugin::TargetPlatform ",1,66,6,8.84204
"org::eclipse::pde::internal::ui::editor::feature::PluginPortabilitySection ",0,3,0,4.75414
"org::eclipse::pde::internal::ui::tests::macro::IndexWizard ",0,15,0,4.68802
"org::eclipse::pde::internal::ui::editor::feature::SynchronizeVersionsAction ",0,29,1,7.7645
"org::eclipse::pde::internal::ui::editor::product::ProductLauncherFormPageHelper ",0,31,1,1.76682
"org::eclipse::pde::internal::ui::views::dependencies::DependenciesViewPageContentProvider ",0,78,3,4.63681
"org::eclipse::pde::internal::core::builders::PluginBaseErrorReporter ",0,130,3,7.722
"org::eclipse::pde::internal::ui::editor::text::PDESourceInfoProvider ",0,39,3,1.77712
"org::eclipse::pde::internal::core::schema::ChoiceRestriction ",0,79,0,6.42599
"org::eclipse::pde::ui::launcher::EquinoxPluginsTab ",0,3,2,9.00686
"org::eclipse::pde::internal::core::site::Site ",1,204,2,11.1262
"org::eclipse::pde::internal::ui::wizards::imports::FeatureImportWizardPage ",2,320,3,7.08227
"org::eclipse::pde::internal::ui::parts::ConditionalListSelectionDialog ",0,36,2,4.2852
"org::eclipse::pde::internal::core::util::CoreUtility ",2,196,5,21.0564
"org::eclipse::pde::internal::ui::wizards::plugin::LibraryPluginFieldData ",0,30,4,7.08978
"org::eclipse::pde::internal::ui::wizards::feature::AbstractCreateFeatureOperation ",0,132,2,5.13272
"org::eclipse::pde::internal::ui::commands::CommandTreeContentProvider ",0,89,0,3.17095
"org::eclipse::pde::internal::ui::editor::text::XMLTagRule ",0,22,0,8.62632
"org::eclipse::pde::internal::ui::search::dependencies::ShowResultsAction ",0,41,2,15.0796
"org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSRunObject ",0,27,1,1.77712
"org::eclipse::pde::internal::core::util::SAXParserWrapper ",0,17,1,1.77712
"org::eclipse::pde::internal::ui::preferences::TargetPlatformPreferenceNode ",1,34,0,7.00075
"org::eclipse::pde::internal::ui::util::StringMatcher ",0,257,1,3.36633
"org::eclipse::pde::internal::ui::tests::macro::MacroUtil ",0,644,0,5.45209
"org::eclipse::pde::internal::core::plugin::WorkspacePluginModel ",0,11,4,9.97572
"org::eclipse::pde::internal::ui::search::ShowDescriptionAction ",0,153,13,23.0656
"org::eclipse::pde::internal::ui::util::ChoicePropertyDescriptor ",0,10,0,6.41569
"org::eclipse::pde::ui::templates::BooleanOption ",0,34,0,6.41569
"org::eclipse::pde::internal::ui::wizards::feature::NewFeatureProjectWizard ",0,33,13,17.575
"org::eclipse::pde::internal::core::builders::JarManifestErrorReporter ",0,245,6,6.60445
"org::eclipse::pde::internal::ui::editor::cheatsheet::comp::actions::CompCSRemoveTaskObjectAction ",0,39,1,1.76682
"org::eclipse::pde::internal::ui::editor::cheatsheet::simple::SimpleCSSourcePage ",0,103,4,4.41258
"org::eclipse::pde::internal::core::builders::UpdateSiteErrorReporter ",0,124,2,4.3792
"org::eclipse::pde::internal::core::WorkspaceModelManager ",0,181,17,27.3621
"org::eclipse::pde::internal::runtime::registry::ExtensionPointAdapter ",0,14,0,0
"org::eclipse::pde::internal::ui::wizards::product::BaseManifestOperation ",0,43,1,11.8796
"org::eclipse::pde::internal::ui::preferences::XMLSyntaxColorTab ",0,30,1,5.24229
"org::eclipse::pde::internal::ui::editor::schema::ElementSection ",0,627,27,26.2376
"org::eclipse::pde::internal::ui::editor::schema::ElementSectionDragAdapter ",0,80,1,7.39875
"org::eclipse::pde::ui::launcher::BundlesTab ",0,49,5,9.56944
"org::eclipse::pde::internal::ui::wizards::product::ProductFromConfigOperation ",0,50,2,15.1351
"org::eclipse::pde::internal::ui::refactoring::CreateHeaderChangeOperation ",0,85,3,5.83014
"org::eclipse::pde::internal::ui::build::PluginExportJob ",0,6,2,8.66479
"org::eclipse::pde::internal::ui::editor::schema::SchemaFormOutlinePage ",0,99,3,11.7129
"org::eclipse::pde::internal::ui::editor::site::SiteLabelProvider ",0,52,5,10.1348
"org::eclipse::pde::internal::ui::launcher::TracingPropertySource ",1,92,4,7.22788
"org::eclipse::pde::internal::ui::refactoring::RenamePluginWizardPage ",0,28,4,5.65618
"org::eclipse::pde::internal::ui::wizards::WizardNode ",0,38,1,10.8895
"org::eclipse::pde::internal::ui::wizards::feature::FeatureSpecPage ",1,69,6,9.9241
"org::eclipse::pde::internal::runtime::registry::ExtensionAdapter ",0,14,0,0
"org::eclipse::pde::internal::ui::wizards::PDEWizardNewFileCreationPage ",0,25,1,3.20993
"org::eclipse::pde::ui::templates::TemplateOption ",0,50,2,5.98276
"org::eclipse::pde::internal::ui::util::LineBreakingReader ",1,77,1,1.76682
"org::eclipse::pde::internal::ui::util::XMLRootElementMatcher ",1,27,1,1.76682
"org::eclipse::pde::internal::ui::editor::plugin::DependencyManagementSection ",0,624,14,11.6025
"org::eclipse::pde::internal::ui::templates::rcp::ViewRCPTemplate ",0,126,5,7.21846
"org::eclipse::pde::internal::core::text::XMLEditingModel ",0,77,4,12.5527
"org::eclipse::pde::internal::core::SearchablePluginsManager ",0,293,18,27.2338
"org::eclipse::pde::internal::ui::editor::site::ArchiveSection ",0,179,2,12.0816
"org::eclipse::pde::internal::core::AbstractNLModel ",0,31,1,8.13388
"org::eclipse::pde::internal::ui::editor::feature::IncludedFeaturesSection ",0,337,19,15.7846
"org::eclipse::pde::internal::ui::refactoring::RenameProjectChange ",0,52,2,4.63082
"org::eclipse::pde::internal::ui::editor::text::PDESelectAnnotationRulerAction ",0,68,1,4.7997
